comment_post_id	comment_time	user_id	to_user_id	to_user_name	comment_content	question_post_id
post_2052006	Nov 01, 2007	319553	None	None	My father goes to the doctors at least 3 times a month and gets evaluated at the sametime.He is on med for depression.But not getting better i just wish there was something more we could do.I just want my father to get better.	post_2049425
post_2052178	Nov 01, 2007	312910	None	None	if its alzheimers and there giving meds it should stop the progression of memory lost but it does not cure what already was lost.    ones the damage is done it cant be repaired.    Is he getting worse or is his condition consistent when he was diagnose? Anyways he lacked memories of his life but does remember you as his daughter.    the best way sometimes to help people with limited memory is to retell them. repeat the memories that you remember with him hopefully happy ones.	post_2049425
post_2084500	Nov 09, 2007	246850	None	None	It DOES sound like Alzheimers. This can happen at any age. Medication is not gaurenteed to stop the progression of memory lost. Each person with this disease progresses differently. Medication can help but like i said there is no guarentee.When dealing with Alzheimers people, you must have patience. Getting "mad" to get them to do something is not gunna work, at least in the long run. Manipulation and "lying" often come in handy when dealing with this. once you figure out (or if you know) the significant things in a persons life you can start a conversation with them using these things. Agreeing often comes in handy. Its like working with a toddler in a way. In one of the first confrences i attended they told us that when you get this disease you lose everything you learned in life "backwards" you may go from walking and talking to crawling and chanting. (with everything in between) Its very tough and the most you can do for someone is be patient and love them. Prayer is powerful as well to help give them the best quality of life they can have.=)	post_2049425
post_2129331	Nov 21, 2007	315914	None	None	I agree it sounds like Alzheimers but he's so young !! I know it can happen at any age, but is there any family history? My G-grandmother, grandmother & father died of it. I think I'm screwed :-) Of course you hear so many things, it's runs on the mother's side, blah blah blah. I guess you just don't know. They tested my dad for it. I take they have done that for your dad? I think if they haven't I would want a cat scan done. And any other test to make sure there isn't brain damage from the heart attack. My dad was in his 70's when we found out but we finally had to put dead bolts on the doors to keep him in. Good Luck, my prayers are with you	post_2049425
post_2567539	Feb 26, 2008	426039	319553	marie1983	My husband has pick's disease , it starts in the 40, 50 and 60's also inhertitate 40 percent.    This is frontal dementa and It is the reasoning and aggessiveness, is the main problems - personality comepetely changes.    I told the doctor for five years something was wrong and he wouldn't believe me and my husband got mad and said nothing was wrong.    We went to psychistist and he past their test and brain test., mri was the one which showed shrinkage of the frontal lobes but the neurologist in the one who caught it .    I wrote down all the things he did and when it started and took it and with test of making a clock,,and other test he figured out what he had and he is on Namenda and Arciept.    They took him off of Arciept and in one month he lost two years.    I got him back on and now he is doing most things again.    Writing and doing figures are now getting worse.    He had his 7 years.    he only went into this once every few weeks at first and after five years it was happening every few days.    So he was normal and than done things which he would never do ,{ dump garbage out in the street, didn't know how to vacum, lost things ,    put ice cream ing the microwave and left it there, stop in the intersection,    stared at walls, he would look lost and like he never seen something.    etc.rbcf	post_2049425
post_2567540	Feb 26, 2008	426039	319553	marie1983	My husband has pick's disease , it starts in the 40, 50 and 60's also inhertitate 40 percent.    This is frontal dementa and It is the reasoning and aggessiveness, is the main problems - personality comepetely changes.    I told the doctor for five years something was wrong and he wouldn't believe me and my husband got mad and said nothing was wrong.    We went to psychistist and he past their test and brain test., mri was the one which showed shrinkage of the frontal lobes but the neurologist in the one who caught it .    I wrote down all the things he did and when it started and took it and with test of making a clock,,and other test he figured out what he had and he is on Namenda and Arciept.    They took him off of Arciept and in one month he lost two years.    I got him back on and now he is doing most things again.    Writing and doing figures are now getting worse.    He had his 7 years.    he only went into this once every few weeks at first and after five years it was happening every few days.    So he was normal and than done things which he would never do ,{ dump garbage out in the street, didn't know how to vacum, lost things ,    put ice cream ing the microwave and left it there, stop in the intersection,    stared at walls, he would look lost and like he never seen something.    etc.rbcf	post_2049425
post_2084518	Nov 09, 2007	246850	None	None	Dementia and Alzheimers are not the same thing, but can have similer affects on ones mind. Dementia can often lead to Alzheimers later on, but is not gaurenteed. Ask her docter to give you more information about this. Your Family has my prayers.=)	post_2081694
post_2089897	Nov 11, 2007	328100	246850	daprincess21	Thank you for your info and especially your prayers.    We seem to be having a difficult time talking about this.    I think my Mom is embarassed.    My Dad calls with updates when she is in her therapy.    I would feel better if we could openly talk about this, but I wouldn't hurt her or embrass her for the world.    Suggestions?Thanks againJudy	post_2081694
post_2093099	Nov 12, 2007	246850	None	None	About the only suggestion i have, is to get more information and training on the disease. That would help for you to better understand what she is going thro, which in return would make the situation a little more comfortable. It does take time to adjust =)	post_2081694
post_2156400	Nov 28, 2007	334557	328100	Judy23	Dr. Alzheimer had a colleague who was named Dr. Lewey.    Dr. Lewey made an important discovery as well.    He found that some patients had (Lewey) bodies which cause dementia as well.    Apparently there is a number of these diseases out there.At this point, my Mom has been diagnosed with non-specific dementia and is taking Namenda.A neuropsychologist can also help test brain function which is important to see which functions are impaired.    Those usually correlate with different types of dementia.Open communication is very important.    You need to know what is going on.    If your father has POA perhaps he can give permission for the doctor to call you as well.The most difficult thing for me is for the doctor to ask me questions about my mother in front of me.    I feel as if I am betraying her.    Your dad is good to give you updates.    Reassure both of them and just continue to be the loving daughter that you are.    Don't let dementia be the big elephant in the room that no one is talking about.All the best,ckr	post_2081694
post_2555503	Feb 24, 2008	426039	None	judy23	my husband has frontal lobe dementa / Picks Disease    it starts in 40, 50 and 60's My husband started at around 59 or before, He worked away from home and I didn't get to see him alot .    Only married around 9 years and he has had it for 7 yr that I know and it come on once in awhile .     It could have been there with his other wife and which caused a lot of things.    change in personality and reasoning is the hardest for me.    Mad really easy and he was a very nice person.    Now will stand toe to toe and fight over anything.    Check out Dementa on the Web and You can get a good picture of what is going on. They done a test and had him draw out a clock and put the numbers in and to put the hands and give him a time.    He left out 12, hand ended up same length, and instead of 9;15 he put 9;05 He had pass all the other tests with only one wrong at the other places and that day he missed almost all.rbcf	post_2081694
post_2548515	Feb 22, 2008	428649	381435	betsy76	I have been online searching for stuff of effects you have after a stroke.    I come from a fairly large extended family there are 10 cousins and we are all very close with each other.    Up until last night i had no idea what was going on. My dad was on the phone with his mom asking her if she was watching hockey but she was not answering and she only answered the phone hello and good you then mumbled something.    She can't seem to communicate with my grandpa and she won't talk beyond hello.    If you write something on paper she looks but doesn't say anything.    When you talk to her she looks at you with a blank stare. She fell down didn't get up for three hours and my grandpa was trying to get her up and all of a sudden she does it and sits back on the wall.     Prior she was saying that her foot hurt her a lot. What we thought was a stroke could it be late Alzheimer's??~sec	post_2331582
post_2298079	Dec 31, 2007	374944	None	karen	Doctors do not know the cause, tangled neurotransmitters. Is she taking Arecept? that helps the progression. My Mother too had the disease.I can help if you need input, I'm no Doctor, but was her caregiver for the last 3 years of her life.	post_2291884
post_2517589	Feb 15, 2008	420357	None	Karen	My mother was just recently diagonesed with alzheimers.    She had a frontal bleed that caused her to have seizures.    They were able to find the frontal bleed by cat scan. We told the blood vessels in the brain thin and bleed.    They have mother on medicine to prevent the seizures.	post_2291884
post_2258767	Dec 20, 2007	327789	None	None	as an update - my mom has now come down with pneumonia - the meeting went well - my dad was reassured she would stay right where she is so he agreed to hospice.    i feel so bad.    my mom used to weigh 115 and is now 88 lbs. but my dad does not see it.    I think he remebers how she was and that is all he chooses to see.I'm wondering why the lack of activity on this forum.    Is it that like me no one has any answers?	post_2242327
post_2283291	Dec 27, 2007	342507	327789	scotty2	sorry to hear about your mother. Your probably right about your dad wanting to remember her the way she was.    My aunt has Alz, my mom died 3 years ago and my dad 2, so she is the closest relative to me.    she was in a care center and they sent her to the emergency room yesterday, as she was non responsive, not alert, etc. Now she is in the hospital and from one day to the next she is worse, she just says the same thing over and over and doesn't respond, it is very scary, the doctors say they can't do anything but keep her comfortable, i hate when they say that.    Anyway, good luck with your parents, they will be in my prayers.	post_2242327
post_2309648	Jan 03, 2008	327789	342507	TAN777	My mom passed peacefully on Dec 24.    Both my Dad and I were there with her.    She declined so quickly.    But hospice kept her very comfortable.    Although it was sad to see her go I know she is in a better place now.    I watched her "die" for years with the Alz. and this was almost a relief.    Good Luck and prayers to you also.	post_2242327
post_2354704	Jan 12, 2008	264156	None	None	Oh no I'm so sorry to hear about your loss. I can relate to what you say though " I watched her die for years". Once they become so different it becomes so hard on those who do remember. How is your dad doing with this?	post_2242327
post_2359533	Jan 14, 2008	327789	264156	sugarpea013	Thanks to everyone.    My Dad seems to be doing OK, although he has always been a man of few words.    I think that maybe because they were in separate units and had not lived together    since last January it may be easier for him.    At least he is going to the dining room to eat again.    He had refused the first week.    Guess it all takes time.    Alz is such a terrible disease.    I used to talk to the nurses in my moms unit asking how they handled it.    One of the nurses told me she has a recurring nightmare that she is really not a nurse, but a patient there with ALZ.    I have so much respect to all who caregive Alz patients.    Not an easy task.	post_2242327
post_2347636	Jan 11, 2008	192203	381593	STmom	My mother has Alzheimers for quite a few years before she died. It is a progressive disease, she slowly became worse. I don't think what your are describing sounds like Alz. She may need to be    evaluated for a stroke.    What made them give a diagnosis of Stage 3? If she has been competent up until now, driving, knowing her family, etc. I would ask for a second opinion.Just my opinion. Please post how she is doing. Best Wishes.	post_2332406
post_2354516	Jan 12, 2008	376035	381593	STmom	I am a nurse in an alzheimers unit this dont sound like alzheimers, None of my pt's ever black out only if they have a seizure disorder, sounds like she needs further testing. good luck	post_2332406
post_2359111	Jan 14, 2008	381593	None	LLWB and Kelly42	Thanks for your advise.    My mom has a dr's appointment today and tomorrow.    They are trying to get her into John's Hopkins for a second opinion.    She hasn't been driving for a year now.    The last time that she drove she had an episode.    There was a friend with her and she didn't realize what had happened until they got back to the house.    My mom had lunch with this friend and they had left the house, went to lunch, got their hair done and came back to the house.    When they got inside my mom asked her friend if she was ready to go to lunch and her friend about freaked and told her that they had already gone and my mom told her she didn't remember.    They called my stepdad and then went to the doctor. She hasn't been behind the wheel since.One doctor that she has thinks it could be a side effect of the sleeping pill that she has been taking but doesn't want to take her off of it because she can't sleep if she does.    I think they need to find a new sleeping pill.They are trying to get her into some study at Johns Hopkins that scans your brain without having an MRI.    Guess we will have to wait and see what happens.Thanks again.	post_2332406
post_2156363	Nov 28, 2007	334557	343912	Pomegranate	Yes, do call her family doctor that is a great place to start.    If this happened suddenly it might be something other than Alzheimer's.    Make sure that you convey to the doctor that this is a drastic turn for the worse.I just saw your post.    My mother has moderate dementia and there seemed to be somewhat of a sudden onset, too.    But, there was no stroke or other problems and she is on medication now.All the best,ckr	post_2143076
post_2156364	Nov 28, 2007	334557	343912	Pomegranate	Yes, do call her family doctor that is a great place to start.    If this happened suddenly it might be something other than Alzheimer's.    Make sure that you convey to the doctor that this is a drastic turn for the worse.I just saw your post.    My mother has moderate dementia and there seemed to be somewhat of a sudden onset, too.    But, there was no stroke or other problems and she is on medication now.All the best,ckr	post_2143076
post_2298115	Dec 31, 2007	374944	343912	Pomegranate	Yes, I would suggest you sch. an appt. with her Doctor and determine if it is caused from medications or the onset of dementia leading to Alzheimer's disease. There are medications to hault the progression. Sounds like she should not be living alone and is regressing, Alz's destroys short term memory, thus she is remembering people and events of the past; long term memory.	post_2143076
post_2307795	Jan 03, 2008	375881	343912	Pomegranate	Well, by age of 90 at least 60% of people will have dementia. It usually starts in a subtle way that can be missed by close relatives in 25 % of the time. Things like personality changes, repeating themselves, irritability are not un common early changes. The doctor will run some tests to check for reversible causes of dementia like B12 deficiency, hypothyroidism, sub-dural hematomas; if all negative then a presumptive diagnosis of Alzeheimer's dementia is made. There is an excellent medicine in addition to Exelon called Namenda; it is a class by it self. Those medicines can slow down the progression up to one year but the overall decline is inevitable.Delusions can happen and can be controlled with medications but there is side effects.	post_2143076
post_2298095	Dec 31, 2007	374944	None	tan777	You can go to the Library for sources of the stages of Alzheimer's or contact the Alz's Assoc in Chicago.My Mother had Alz's for years and yes, it is very normal for the person with the disease to repeat themselves. Their short term memory is almost erased and they don't really remember asking the questions much less remembering if you answered. Because they eventually become bedridden they do have small/mini strokes. She actually can not remember how to chew or swallow or if she even ate of if she feels full. The disease destroys all motor functions one at a time. You need to read a book you can purchase on Amazon.com called the 35 hour Day. It explains the # of stages and what to expect.Any other questions of help I can be to you, please ask.	post_2283299
post_2262467	Dec 21, 2007	327789	359370	depmomx2	Has he been to a doctor?    I am not an expert, but I am wondering if he may have had a small stroke.	post_2262174
post_2172768	Dec 02, 2007	348504	351168	tjsangel87	Hi.Are these your MRI results? If yes, could you tell us what symptoms you experienced which led to an MRI being performed?Diffuse brain atrophy can be caused by many conditions and is not specific to any one of them. This is also true with small vessel ischemia seen on the MRI. One thing that was certain in your findings was no presence of any acute brain infarction (stroke).You should have a neurologist correlate this MRI findings with any symptoms you may be experiencing.Hope this helps.	post_2172662
post_2172825	Dec 02, 2007	351168	None	DrGodofredoMD	Hi,Thank you for your quick response.    No, these are the results of my mother-in-law's MRI.    We were told that in a past MRI that they did see an old stroke.    She suffers from depression and headaches.    I took her for this MRI b/c of headaches and the fear she may have had another stroke.She was diagnosed with Alzheimers and severe depression.    I was wondering if a stroke was causing some of her issues so we got the MRI done to rule out anything else.    She is 74 and was diagnosed about a year ago.	post_2172662
post_2172846	Dec 02, 2007	351168	None	DrGodofredoMD	I really need some guideance on the Alzheimer's.    I am going to be taking care of her and am just wondering what is in store for us ahead.    She goes in and out of what appears to be moments of total control to not being able to remembering how to write a check.    She started with hallucinations this summer and we didn't realize it until she went into more detail earlier this fall and told me that there were men in her room and she couldn't sleep.    She is now on Geodon, which has been a blessing.    We have no more late night visitors.My father-n-law passed away four years ago and ever since we have been living with her.    She now feels that she wants to live alone.    She forgets to pay bills and for a while couldn't rember how to make mac-n-cheese.    She cooks on rare occasions and makes the same thing over and over. I guess the recipe is something that stuck with her.I am scared to let her live alone, she calls me everyday at work for every little thing.    I don't mind...I am just worried she isn't able to live alone.    Is there any way to guage how far along she is in her disease?	post_2172662
post_2172892	Dec 02, 2007	348504	351168	tjsangel87	Hi.The disease progression in AD varies from person to person with a length of disease as short as 3 years to as long as 20. There are certain staging systems which provide guides to the pattern of the disease and would be helpful in making decisions regarding care.One staging system categorizes the disease as early, middle and late stages. The Global Deterioration Scale (Reisberg Scale 2), is another system that describes the disease progression in seven stages.Again it is important to emphasize that each person will have a unique presentation and progression of his/her disease. Symptoms may appear in any order and there is no clear line when one stage ends and another begins, with overlapping of stages occurring commonly.Also, an important thing to remember is that the focus should not be made squarely on what abilities are lost during disease progression, but also focus on the abilities that do remain, such as the senses of touch and hearing, and the ability to respond to emotion.Hope this helps. Good luck.	post_2172662
post_2050622	Nov 01, 2007	192203	318754	Lindadirksen	Your grandma may indeed be just grieving. At her age some memory lapses are indeed to be expected. In the mid to later stages of Alz most patients do not remember family members, names, or even where they are or have been. Even when told these things, they usually ask again minutes later. Bless you for caring. Maybe you could make a visit, and see for yourself her condition. She may need some time to adjust to her loss.When my dad lost my mom after 50 years together, he never got over her loss. Sometimes we wish they could go together. Perhaps she needs visited by a home health nurse, or an assisted living facility for a time to help her get thru this.	post_2046212
post_2084508	Nov 09, 2007	246850	None	None	She may be having demenita from losing you grandfather. This may or may not involve actual Alzheimers. There are many tests and scans that can be done to better determine her diagnosis.	post_2046212
post_2043387	Oct 30, 2007	317886	None	Barbara	It is matter of constitutional disorder of a human body. it is ruling with any situation is not a happening. It is pre planed by body itself. There are many kind of body management. That you will get more info. Of human body equation by vesting www.equations.org.in. After referring the equation of a man I shall explain you what is the mathematical calculation of    Factor on human body relate with each transformation. DR.M D Vaidya did a life long research work in it.	post_1999230
post_1996173	Oct 18, 2007	192203	302861	daughter1966	I am so sorry for your mother's diagnosis. You don't say what stage they diagnose her as having. My Grandfather lived for 9 years in a nursing home with Alzheimer's. He was perfectly healthy otherwise. It was devasting for our family. He died in his late 70's. My mother started exhibiting early symptoms in her late 50's. Unfortunately she was also an alcoholic, and it caused her condition to go downhill. She had also had uterine cancer, and breast cancer. My dad had always promised to keep her at home and care for her. In her late 70's unbeknown to my brother and me, she become very ill. She was incontinent, didn't know anyone, and was almost catatonic. Neither my brother or I lived close by. I happened to go for a visit, and was appalled at her condition. She couldn't cook, find the heat thermostat, had night terrors. She was in late stages. At my insistance my dad took her to dr the next day. (He was in denial of her condition, kept insisting he could care for her). The doctor put her in hospital as she had horrific kidney infection. Of course they hooked her up to IV's, started antibiotics, etc. My brother and I immediately    gathered with my dad. Fortunately she had a living will, having anticipated her condition before she became medically incompetent. She requested no life sustaining measures,no feeding tubes, etc., not even IV's. We had them removed. It was one of the hardest things we will ever had to do, but it was her wish. When her infection was cured, my dad got ready to take her home. The doctor concurred with my brother and I, and she was placed in a nursing home. She didn't even recognize her husband of 49 years. My dad even suffered a heart attack several years earlier from the stress of caring for her. Unfortunately she wouldn't take the medications that could have prolonged her cognizent capabilities. There are better treatments now than when she first suspected she was ill. She only lived 3 months after being placed in nursing home. She got up one morning, ate a little, told the nurses she was tired and was going to take a nap. She went in, laid down, and died. The doctors had suspected she was getting close to the end, her feet were swelling, she was forgetting how to eat, and they suspected bowel cancer. Wanted to operate, which would have meant tyying down her hands to prevent her pulling out the catheters and IV's, which she had done when hospitalised for the kidney infection. All they wanted was the money. She had no quality of life at the end. I am so so sorry for you. But take heart, with treatment, if she is in early stages, she (in my guess) probably has several years if not more, if she is otherwise in good health. Please let me know what I can tell you to help make this easier for you. I know that's really not possible, but maybe it helps to know you are not alone. There are several good    groups that can help you to deal with this. Also, may I suggest, if she is still mentally competant, that you talk with her candidly, and ask her what she wants. I will pray for both your mom and you.Maggie	post_1995614
post_2290482	Dec 30, 2007	368886	373079	bryan03	Hello.Your father is showing signs of Dementia. I guess these symptoms are not sudden in onset.The atrophy is normal in this age. It is not there in each and every 80 year old person, but some amount of atrophy is normal.The isolated foci of hyperintensity are also normal provided he does not have any other symptoms.I would still suggest you to take a Neurologist's opinion on this. The symptoms of memory loss and confusion have to be investigated and appropriate steps have to be taken to prevent further damage. Dementia is progressive.Regards	post_2288398
post_2089689	Nov 11, 2007	329402	None	anyone	what is the definition of "Microangiopathic ischemic gliosis"?	post_2086744
post_2187395	Dec 06, 2007	348504	329402	hdink2	Hi.I am assuming that this is a finding on MRI. It basically means an area of the brain that has experienced small vessel ischemia (lack of blood) with resulting gliosis (a proliferation of certain nerve cells) as a response to the ischemic injury.Hope this helps.	post_2086744
post_2191008	Dec 06, 2007	329402	None	DrGodofredoMD	Thank you for your response. Who this indicate either Alzheimers or Vascular Dementia?	post_2086744
post_2191809	Dec 07, 2007	348504	329402	hdink2	Hi.Not necessarily. This is a nonspecific sign and can by caused by a lot of conditions, not just Alzheimer's disease and vascular dementia. Any condition that leads to some form of brain ischemia can possibly be associated with this sign.Hope this answers your query.	post_2086744
post_2198055	Dec 08, 2007	329402	None	DrGodofredoMD	This is a finding from my 82 year old husbands MRI. He has been diagnosed with moderate dementia. He doesn't remember us being married for 28 years and has other symptoms indicating memory problems. He is still able to do quite abit for himself. I'm just trying to find some explanation for what is happening to him. I appreciate the information that you are providing me.	post_2086744
post_2211099	Dec 09, 2007	348504	329402	hdink2	Hi.I am very sorry to hear that your husband is suffering from dementia. I do hope that his condition would improve.Dementia can exist in many conditions, such as Alzheimer's disease, vascular dementia, dementia with Lewy bodies, frontotemporal demential, and secondary dementias (also known as "reversible dementias" because the cognitive impairment resolves with treatment of the primary disorder). MRI may be helpful in some of these conditions but, most of the time, the diagnosis is a clinical one, and is mostly based on symptomatology and medical history. It would be advisable to sit down and talk to your neurologist about his condition to determine the prognosis as well as how to cope with the disease.Good luck.	post_2086744
post_2187595	Dec 06, 2007	350595	343532	valmart	Hello.A normal EEG does not rule our Dementia. In fact, for a definitive diagnosis of Dementia, an MRI of the brain and brain biopsy are necessary.Mild cognitive Impairement can be considered the initial stage of a Dementia process. The impairement is expected to increase with time. You need to consult her Neurologist, get an imaging study of the brain, and discuss treatment options.One cannot reverse the nerve cell death, but it can be arrested if appropriate steps are taken now.RegardsDrAbhijeetMD	post_2187465
post_2078107	Nov 08, 2007	325927	327047	Sandcastle53	Hi,You have not mentioned the cause of the dementia. I hope she has been worked up for the cause of dementia as that itself is important in deciding the treatment option. Presuming she is suffering from Alzheimer's, there are not many proven medical treatment options. Apart from what she is already on, few agents are being currently evaluated to assess the efficacy in reversing the progression of the disease. Aspirin, estrogen, vitamin E, selegiline, Ginkgo extract are potential treatment options but none is proven.	post_2077550
post_2319557	Jan 05, 2008	379083	348760	frmusany718	Yes i am, and I feel so lonely.My baby was diagnosed prenataly in feb 2007.my husband and i choose to end the pregnancy - sadly- at nearly 23 weeks.	post_2162699
post_2337072	Jan 08, 2008	348760	None	None	It's great to hear from you.    I have been searching for a long time for someone else with this problem.    How was it diagnosed?PS I'm trying to figure out a way so we can send each other private messages.	post_2162699
post_2476957	Feb 06, 2008	412024	348760	frmusany718	Yes, I am also.Our baby was diagnosed in December 2008.     It has been very difficult to find others who have experienced the same shocking news.	post_2162699
post_2476978	Feb 06, 2008	412024	348760	frmusany718	I am sorry I meant Dec. 2007, when we got the diagnosis.	post_2162699
post_2481347	Feb 07, 2008	348760	None	all responders	thank you much to all for responding.what I'm really looking for is to communicate with people with this problem.so    if there is anybody with this problem please post here AND send me a private massage	post_2162699
